,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
0,dvinskoy,14,RU,1565580469,79,62.16,45.12,38.85,5.99
1,san francisco,100,CO,1565580470,95,1.17,-76.88,49.65,1.43
2,yellowknife,20,CA,1565580407,59,62.45,-114.38,62.6,5.82
3,bredasdorp,6,ZA,1565580470,71,-34.53,20.04,53.6,11.41
4,kokuy,33,RU,1565580470,49,52.2,117.55,75.57,8.99
5,nikolskoye,75,RU,1565580470,93,59.7,30.79,61.0,2.24
6,kurchum,0,KZ,1565580471,45,48.57,83.65,65.32,1.39
7,lompoc,90,US,1565580471,87,34.64,-120.46,66.0,8.05
8,mataura,44,NZ,1565580471,80,-46.19,168.86,46.0,8.99
9,busselton,0,AU,1565580471,35,-33.64,115.35,70.0,21.59
10,hithadhoo,100,MV,1565580472,77,-0.6,73.08,83.67,15.9
11,east london,0,ZA,1565580472,76,-33.02,27.91,55.4,8.05
12,san quintin,100,PH,1565580472,86,17.54,120.52,80.97,15.12
13,oriximina,0,BR,1565580473,64,-1.77,-55.87,80.62,3.74
14,castro,90,CL,1565580473,93,-42.48,-73.76,42.8,3.36
15,hobart,75,AU,1565580328,62,-42.88,147.33,54.0,11.41
16,port alfred,55,ZA,1565580473,67,-33.59,26.89,57.0,5.01
17,albany,20,US,1565580474,68,42.65,-73.75,66.99,6.17
18,armidale,96,AU,1565580317,68,-30.51,151.67,43.0,3.0
19,prince rupert,90,CA,1565580474,87,54.32,-130.32,60.8,5.82
20,iqaluit,5,CA,1565580474,86,63.75,-68.52,41.0,5.82
21,saint-joseph,44,FR,1565580474,88,43.56,6.97,75.2,5.82
22,silvan,0,TR,1565580474,53,38.14,41.01,72.0,3.36
23,norsup,40,VU,1565580475,74,-16.07,167.38,84.2,11.41
24,cam ranh,0,VN,1565580475,52,11.92,109.15,93.2,14.99
25,te anau,79,NZ,1565580475,87,-45.41,167.72,41.02,2.15
26,saldanha,0,PT,1565580475,89,41.42,-6.55,50.55,2.24
27,pontes e lacerda,0,BR,1565580476,32,-15.23,-59.33,71.62,3.6
28,pingshan,0,CN,1565580476,51,28.83,104.35,90.34,2.95
29,vytegra,2,RU,1565580476,72,61.01,36.45,48.4,11.9
30,pacific grove,1,US,1565580476,59,36.62,-121.92,75.2,5.82
31,butaritari,100,KI,1565580476,75,3.07,172.79,82.24,9.1
32,bluff,0,AU,1565580477,29,-23.58,149.07,66.75,4.9
33,myingyan,75,MM,1565580477,70,21.46,95.39,86.0,5.82
34,bang saphan,40,TH,1565580477,74,11.21,99.51,86.0,5.82
35,new norfolk,75,AU,1565580477,62,-42.78,147.06,54.0,11.41
36,saint-paul,4,FR,1565580477,93,45.22,1.9,57.0,2.24
37,cape town,75,ZA,1565580457,76,-33.93,18.42,55.0,5.82
38,bend,1,US,1565580477,42,44.06,-121.32,66.2,9.17
39,ushuaia,20,AR,1565580478,94,-54.81,-68.31,32.0,13.87
40,chuy,39,UY,1565580478,93,-33.69,-53.46,49.84,7.18
41,gizo,0,IL,1565580478,50,31.8,34.94,75.2,3.36
42,mackay,90,CA,1565580479,100,53.65,-115.58,59.0,2.24
43,saskylakh,0,RU,1565580479,39,71.97,114.09,73.42,10.51
44,upernavik,81,GL,1565580479,66,72.79,-56.15,44.07,9.08
45,singleton,75,AU,1565580479,51,-32.57,151.17,64.0,11.41
46,roma,0,IT,1565580409,64,41.89,12.48,78.01,4.7
47,vaini,75,IN,1565580479,88,15.34,74.49,73.4,9.17
48,tasiilaq,0,GL,1565580480,100,65.61,-37.64,37.4,6.93
49,deputatskiy,13,RU,1565580480,37,69.3,139.9,67.3,15.5
50,victoria,75,BN,1565580328,74,5.28,115.24,89.6,3.36
51,yeppoon,0,AU,1565580480,19,-23.13,150.74,71.6,6.93
52,san patricio,34,PY,1565580480,86,-26.98,-56.83,61.72,4.68
